NEIGHBOURHOOD,STRUCTURE_TYPE,POPULATION
HIGH PARK,Manufactured home/mobile home,0
HIGH PARK,Rooming house/collective residence,0
HIGH PARK,Hotel or motel,21
HIGH PARK,Other residential,0
HIGH PARK,No Response,0
HIGH PARK INDUSTRIAL,Single-detached house,0
HIGH PARK INDUSTRIAL,Duplex/triplex/fourplex,0
HIGH PARK INDUSTRIAL,Row house,0
HIGH PARK INDUSTRIAL,Apartment with 5 or more stories,0
HIGH PARK INDUSTRIAL,Apartment with less than 5 stories,0
HIGH PARK INDUSTRIAL,Manufactured home/mobile home,0
HIGH PARK INDUSTRIAL,Rooming house/collective residence,0
HIGH PARK INDUSTRIAL,Hotel or motel,0
HIGH PARK INDUSTRIAL,Other residential,0
HIGH PARK INDUSTRIAL,No Response,0
HIGHLANDS,Single-detached house,2297
HIGHLANDS,Duplex/triplex/fourplex,58
HIGHLANDS,Row house,0
HIGHLANDS,Apartment with 5 or more stories,0
HIGHLANDS,Apartment with less than 5 stories,161
HIGHLANDS,Manufactured home/mobile home,0
HIGHLANDS,Rooming house/collective residence,0
HIGHLANDS,Hotel or motel,4
HIGHLANDS,Other residential,0
HIGHLANDS,No Response,0
HILLVIEW,Single-detached house,2301
HILLVIEW,Duplex/triplex/fourplex,269
HILLVIEW,Row house,766
HILLVIEW,Apartment with 5 or more stories,0
HILLVIEW,Apartment with less than 5 stories,430
HILLVIEW,Manufactured home/mobile home,0
HILLVIEW,Rooming house/collective residence,0
HILLVIEW,Hotel or motel,0
HILLVIEW,Other residential,0
HILLVIEW,No Response,0
HODGSON,Single-detached house,1885
HODGSON,Duplex/triplex/fourplex,190
HODGSON,Row house,0
HODGSON,Apartment with 5 or more stories,0
HODGSON,Apartment with less than 5 stories,448
HODGSON,Manufactured home/mobile home,0
HODGSON,Rooming house/collective residence,0
HODGSON,Hotel or motel,0
HODGSON,Other residential,0
HODGSON,No Response,0
HOLLICK-KENYON,Single-detached house,3922
HOLLICK-KENYON,Duplex/triplex/fourplex,444
HOLLICK-KENYON,Row house,1
HOLLICK-KENYON,Apartment with 5 or more stories,0
HOLLICK-KENYON,Apartment with less than 5 stories,0
HOLLICK-KENYON,Manufactured home/mobile home,0
HOLLICK-KENYON,Rooming house/collective residence,0
HOLLICK-KENYON,Hotel or motel,0
HOLLICK-KENYON,Other residential,0
HOLLICK-KENYON,No Response,0
HOLYROOD,Single-detached house,2604
HOLYROOD,Duplex/triplex/fourplex,333
HOLYROOD,Row house,157
HOLYROOD,Apartment with 5 or more stories,117
HOLYROOD,Apartment with less than 5 stories,226
HOLYROOD,Manufactured home/mobile home,0
HOLYROOD,Rooming house/collective residence,0
HOLYROOD,Hotel or motel,0
HOLYROOD,Other residential,17
HOLYROOD,No Response,0
HOMESTEADER,Single-detached house,1268
HOMESTEADER,Duplex/triplex/fourplex,379
HOMESTEADER,Row house,1429
HOMESTEADER,Apartment with 5 or more stories,5
HOMESTEADER,Apartment with less than 5 stories,399
HOMESTEADER,Manufactured home/mobile home,0
HOMESTEADER,Rooming house/collective residence,0
HOMESTEADER,Hotel or motel,0
HOMESTEADER,Other residential,0
HOMESTEADER,No Response,0
HUDSON,Single-detached house,1410
HUDSON,Duplex/triplex/fourplex,256
HUDSON,Row house,2
HUDSON,Apartment with 5 or more stories,0
HUDSON,Apartment with less than 5 stories,289
HUDSON,Manufactured home/mobile home,0
HUDSON,Rooming house/collective residence,0
HUDSON,Hotel or motel,0
HUDSON,Other residential,0
HUDSON,No Response,0
IDYLWYLDE,Single-detached house,1222
IDYLWYLDE,Duplex/triplex/fourplex,49
IDYLWYLDE,Row house,0
IDYLWYLDE,Apartment with 5 or more stories,128
IDYLWYLDE,Apartment with less than 5 stories,386
IDYLWYLDE,Manufactured home/mobile home,0
IDYLWYLDE,Rooming house/collective residence,0
IDYLWYLDE,Hotel or motel,0
IDYLWYLDE,Other residential,0
IDYLWYLDE,No Response,0
INGLEWOOD,Single-detached house,1943
INGLEWOOD,Duplex/triplex/fourplex,514
INGLEWOOD,Row house,4
INGLEWOOD,Apartment with 5 or more stories,527
INGLEWOOD,Apartment with less than 5 stories,3313
INGLEWOOD,Manufactured home/mobile home,0
INGLEWOOD,Rooming house/collective residence,6
INGLEWOOD,Hotel or motel,0
INGLEWOOD,Other residential,87
INGLEWOOD,No Response,0
JACKSON HEIGHTS,Single-detached house,3933
JACKSON HEIGHTS,Duplex/triplex/fourplex,157
JACKSON HEIGHTS,Row house,40
JACKSON HEIGHTS,Apartment with 5 or more stories,0
JACKSON HEIGHTS,Apartment with less than 5 stories,0
JACKSON HEIGHTS,Manufactured home/mobile home,0
JACKSON HEIGHTS,Rooming house/collective residence,0
JACKSON HEIGHTS,Hotel or motel,0
JACKSON HEIGHTS,Other residential,0
JACKSON HEIGHTS,No Response,0
JAMIESON PLACE,Single-detached house,3862
JAMIESON PLACE,Duplex/triplex/fourplex,98
JAMIESON PLACE,Row house,13
JAMIESON PLACE,Apartment with 5 or more stories,0
JAMIESON PLACE,Apartment with less than 5 stories,0
JAMIESON PLACE,Manufactured home/mobile home,0
JAMIESON PLACE,Rooming house/collective residence,0
JAMIESON PLACE,Hotel or motel,0
JAMIESON PLACE,Other residential,0
JAMIESON PLACE,No Response,0
JASPER PARK,Single-detached house,1096
JASPER PARK,Duplex/triplex/fourplex,122
JASPER PARK,Row house,0
JASPER PARK,Apartment with 5 or more stories,0
JASPER PARK,Apartment with less than 5 stories,657
JASPER PARK,Manufactured home/mobile home,1
JASPER PARK,Rooming house/collective residence,0
JASPER PARK,Hotel or motel,0
JASPER PARK,Other residential,21
JASPER PARK,No Response,0
KAMEYOSEK,Single-detached house,918
KAMEYOSEK,Duplex/triplex/fourplex,16
KAMEYOSEK,Row house,1361
KAMEYOSEK,Apartment with 5 or more stories,80
KAMEYOSEK,Apartment with less than 5 stories,337
KAMEYOSEK,Manufactured home/mobile home,0
KAMEYOSEK,Rooming house/collective residence,0
KAMEYOSEK,Hotel or motel,0
KAMEYOSEK,Other residential,0
KAMEYOSEK,No Response,0
KEHEEWIN,Single-detached house,1776
KEHEEWIN,Duplex/triplex/fourplex,119
KEHEEWIN,Row house,288
KEHEEWIN,Apartment with 5 or more stories,0
KEHEEWIN,Apartment with less than 5 stories,645
KEHEEWIN,Manufactured home/mobile home,0
KEHEEWIN,Rooming house/collective residence,30
KEHEEWIN,Hotel or motel,0
KEHEEWIN,Other residential,39
KEHEEWIN,No Response,0
KENILWORTH,Single-detached house,2124
KENILWORTH,Duplex/triplex/fourplex,288
KENILWORTH,Row house,9
KENILWORTH,Apartment with 5 or more stories,0
KENILWORTH,Apartment with less than 5 stories,99
KENILWORTH,Manufactured home/mobile home,0
KENILWORTH,Rooming house/collective residence,6
KENILWORTH,Hotel or motel,0
KENILWORTH,Other residential,0
KENILWORTH,No Response,0
KENSINGTON,Single-detached house,2464
KENSINGTON,Duplex/triplex/fourplex,647
KENSINGTON,Row house,4
KENSINGTON,Apartment with 5 or more stories,0
KENSINGTON,Apartment with less than 5 stories,696
KENSINGTON,Manufactured home/mobile home,0
KENSINGTON,Rooming house/collective residence,13
KENSINGTON,Hotel or motel,0
KENSINGTON,Other residential,0
KENSINGTON,No Response,0
KERNOHAN,Single-detached house,2082
KERNOHAN,Duplex/triplex/fourplex,273
KERNOHAN,Row house,712
KERNOHAN,Apartment with 5 or more stories,0
KERNOHAN,Apartment with less than 5 stories,93
KERNOHAN,Manufactured home/mobile home,0
KERNOHAN,Rooming house/collective residence,0
KERNOHAN,Hotel or motel,0
KERNOHAN,Other residential,0
KERNOHAN,No Response,0
KILDARE,Single-detached house,1406
KILDARE,Duplex/triplex/fourplex,206
KILDARE,Row house,758
KILDARE,Apartment with 5 or more stories,116
KILDARE,Apartment with less than 5 stories,400
KILDARE,Manufactured home/mobile home,0
KILDARE,Rooming house/collective residence,0
KILDARE,Hotel or motel,0
KILDARE,Other residential,0
KILDARE,No Response,0
KILKENNY,Single-detached house,3655
KILKENNY,Duplex/triplex/fourplex,37
KILKENNY,Row house,627
KILKENNY,Apartment with 5 or more stories,6
KILKENNY,Apartment with less than 5 stories,1501
KILKENNY,Manufactured home/mobile home,0
KILKENNY,Rooming house/collective residence,0
KILKENNY,Hotel or motel,0
KILKENNY,Other residential,0
KILKENNY,No Response,0
KILLARNEY,Single-detached house,1368
KILLARNEY,Duplex/triplex/fourplex,1099
KILLARNEY,Row house,705
KILLARNEY,Apartment with 5 or more stories,5
KILLARNEY,Apartment with less than 5 stories,752
KILLARNEY,Manufactured home/mobile home,0
KILLARNEY,Rooming house/collective residence,0
KILLARNEY,Hotel or motel,0
KILLARNEY,Other residential,0
KILLARNEY,No Response,0
KING EDWARD PARK,Single-detached house,3092
KING EDWARD PARK,Duplex/triplex/fourplex,656
KING EDWARD PARK,Row house,7
KING EDWARD PARK,Apartment with 5 or more stories,1
KING EDWARD PARK,Apartment with less than 5 stories,615
KING EDWARD PARK,Manufactured home/mobile home,0
KING EDWARD PARK,Rooming house/collective residence,0
KING EDWARD PARK,Hotel or motel,0
KING EDWARD PARK,Other residential,0
KING EDWARD PARK,No Response,0
KINISKI GARDENS,Single-detached house,6644
KINISKI GARDENS,Duplex/triplex/fourplex,114
KINISKI GARDENS,Row house,0
KINISKI GARDENS,Apartment with 5 or more stories,0
KINISKI GARDENS,Apartment with less than 5 stories,169
KINISKI GARDENS,Manufactured home/mobile home,0
KINISKI GARDENS,Rooming house/collective residence,0
KINISKI GARDENS,Hotel or motel,0
KINISKI GARDENS,Other residential,0
KINISKI GARDENS,No Response,0
KINOKAMAU PLAINS AREA,Single-detached house,122
KINOKAMAU PLAINS AREA,Duplex/triplex/fourplex,0
KINOKAMAU PLAINS AREA,Row house,0
KINOKAMAU PLAINS AREA,Apartment with 5 or more stories,0
KINOKAMAU PLAINS AREA,Apartment with less than 5 stories,0
KINOKAMAU PLAINS AREA,Manufactured home/mobile home,0
KINOKAMAU PLAINS AREA,Rooming house/collective residence,0
KINOKAMAU PLAINS AREA,Hotel or motel,0
KINOKAMAU PLAINS AREA,Other residential,0
KINOKAMAU PLAINS AREA,No Response,0
KIRKNESS,Single-detached house,2080
KIRKNESS,Duplex/triplex/fourplex,40
KIRKNESS,Row house,587
KIRKNESS,Apartment with 5 or more stories,0
KIRKNESS,Apartment with less than 5 stories,858
KIRKNESS,Manufactured home/mobile home,0
KIRKNESS,Rooming house/collective residence,0
KIRKNESS,Hotel or motel,0
KIRKNESS,Other residential,0
KIRKNESS,No Response,0
KLARVATTEN,Single-detached house,4066
KLARVATTEN,Duplex/triplex/fourplex,130
KLARVATTEN,Row house,227
KLARVATTEN,Apartment with 5 or more stories,0
KLARVATTEN,Apartment with less than 5 stories,0
KLARVATTEN,Manufactured home/mobile home,0
KLARVATTEN,Rooming house/collective residence,0
KLARVATTEN,Hotel or motel,0
KLARVATTEN,Other residential,0
KLARVATTEN,No Response,0
LA PERLE,Single-detached house,2921
LA PERLE,Duplex/triplex/fourplex,621
LA PERLE,Row house,1096
LA PERLE,Apartment with 5 or more stories,0
LA PERLE,Apartment with less than 5 stories,574
LA PERLE,Manufactured home/mobile home,0
LA PERLE,Rooming house/collective residence,0
LA PERLE,Hotel or motel,0
LA PERLE,Other residential,0
LA PERLE,No Response,0
LAGO LINDO,Single-detached house,3779
LAGO LINDO,Duplex/triplex/fourplex,7
LAGO LINDO,Row house,349
LAGO LINDO,Apartment with 5 or more stories,0
LAGO LINDO,Apartment with less than 5 stories,0
LAGO LINDO,Manufactured home/mobile home,0
LAGO LINDO,Rooming house/collective residence,0
LAGO LINDO,Hotel or motel,0
LAGO LINDO,Other residential,0
LAGO LINDO,No Response,0
LAMBTON INDUSTRIAL,Single-detached house,0
LAMBTON INDUSTRIAL,Duplex/triplex/fourplex,0
LAMBTON INDUSTRIAL,Row house,0
LAMBTON INDUSTRIAL,Apartment with 5 or more stories,0
LAMBTON INDUSTRIAL,Apartment with less than 5 stories,0
LAMBTON INDUSTRIAL,Manufactured home/mobile home,0
LAMBTON INDUSTRIAL,Rooming house/collective residence,104
LAMBTON INDUSTRIAL,Hotel or motel,0
LAMBTON INDUSTRIAL,Other residential,0
LAMBTON INDUSTRIAL,No Response,0
LANSDOWNE,Single-detached house,973
LANSDOWNE,Duplex/triplex/fourplex,0
LANSDOWNE,Row house,0
LANSDOWNE,Apartment with 5 or more stories,104
LANSDOWNE,Apartment with less than 5 stories,202
LANSDOWNE,Manufactured home/mobile home,0
LANSDOWNE,Rooming house/collective residence,0
LANSDOWNE,Hotel or motel,0
LANSDOWNE,Other residential,0
LANSDOWNE,No Response,0
LARKSPUR,Single-detached house,4189
LARKSPUR,Duplex/triplex/fourplex,459
LARKSPUR,Row house,4
LARKSPUR,Apartment with 5 or more stories,0
LARKSPUR,Apartment with less than 5 stories,189
LARKSPUR,Manufactured home/mobile home,0
LARKSPUR,Rooming house/collective residence,0
LARKSPUR,Hotel or motel,0
LARKSPUR,Other residential,0
LARKSPUR,No Response,0
LAUDERDALE,Single-detached house,1479
LAUDERDALE,Duplex/triplex/fourplex,620
LAUDERDALE,Row house,434
LAUDERDALE,Apartment with 5 or more stories,0
LAUDERDALE,Apartment with less than 5 stories,342
LAUDERDALE,Manufactured home/mobile home,0
LAUDERDALE,Rooming house/collective residence,0
LAUDERDALE,Hotel or motel,0
LAUDERDALE,Other residential,0
LAUDERDALE,No Response,0
LAURIER HEIGHTS,Single-detached house,2296
LAURIER HEIGHTS,Duplex/triplex/fourplex,0
LAURIER HEIGHTS,Row house,0
LAURIER HEIGHTS,Apartment with 5 or more stories,0
LAURIER HEIGHTS,Apartment with less than 5 stories,313
LAURIER HEIGHTS,Manufactured home/mobile home,0
LAURIER HEIGHTS,Rooming house/collective residence,0
LAURIER HEIGHTS,Hotel or motel,0
LAURIER HEIGHTS,Other residential,102
LAURIER HEIGHTS,No Response,0
LEE RIDGE,Single-detached house,1005
LEE RIDGE,Duplex/triplex/fourplex,421
LEE RIDGE,Row house,855
LEE RIDGE,Apartment with 5 or more stories,4
LEE RIDGE,Apartment with less than 5 stories,284
LEE RIDGE,Manufactured home/mobile home,182
LEE RIDGE,Rooming house/collective residence,0
LEE RIDGE,Hotel or motel,0
LEE RIDGE,Other residential,0
LEE RIDGE,No Response,0
LEGER,Single-detached house,2095
LEGER,Duplex/triplex/fourplex,251
LEGER,Row house,34
LEGER,Apartment with 5 or more stories,0
LEGER,Apartment with less than 5 stories,0
LEGER,Manufactured home/mobile home,0
LEGER,Rooming house/collective residence,0
LEGER,Hotel or motel,0
LEGER,Other residential,0
LEGER,No Response,0
LENDRUM PLACE,Single-detached house,1512
LENDRUM PLACE,Duplex/triplex/fourplex,1
LENDRUM PLACE,Row house,0
LENDRUM PLACE,Apartment with 5 or more stories,0
LENDRUM PLACE,Apartment with less than 5 stories,417
LENDRUM PLACE,Manufactured home/mobile home,0
LENDRUM PLACE,Rooming house/collective residence,0
LENDRUM PLACE,Hotel or motel,0
LENDRUM PLACE,Other residential,0
LENDRUM PLACE,No Response,0
LEWIS FARMS INDUSTRIAL,Single-detached house,82
LEWIS FARMS INDUSTRIAL,Duplex/triplex/fourplex,0
LEWIS FARMS INDUSTRIAL,Row house,0
LEWIS FARMS INDUSTRIAL,Apartment with 5 or more stories,0
LEWIS FARMS INDUSTRIAL,Apartment with less than 5 stories,0
LEWIS FARMS INDUSTRIAL,Manufactured home/mobile home,3
LEWIS FARMS INDUSTRIAL,Rooming house/collective residence,0
LEWIS FARMS INDUSTRIAL,Hotel or motel,2
LEWIS FARMS INDUSTRIAL,Other residential,0
LEWIS FARMS INDUSTRIAL,No Response,0
LORELEI,Single-detached house,2541
LORELEI,Duplex/triplex/fourplex,281
LORELEI,Row house,1066
LORELEI,Apartment with 5 or more stories,0
LORELEI,Apartment with less than 5 stories,282
LORELEI,Manufactured home/mobile home,0
LORELEI,Rooming house/collective residence,0
LORELEI,Hotel or motel,0
LORELEI,Other residential,0
LORELEI,No Response,0
LYMBURN,Single-detached house,4503
LYMBURN,Duplex/triplex/fourplex,846
LYMBURN,Row house,701
LYMBURN,Apartment with 5 or more stories,0
LYMBURN,Apartment with less than 5 stories,0
LYMBURN,Manufactured home/mobile home,0
LYMBURN,Rooming house/collective residence,0
LYMBURN,Hotel or motel,0
LYMBURN,Other residential,0
LYMBURN,No Response,0
LYNNWOOD,Single-detached house,1999
LYNNWOOD,Duplex/triplex/fourplex,0
LYNNWOOD,Row house,0
LYNNWOOD,Apartment with 5 or more stories,562
LYNNWOOD,Apartment with less than 5 stories,636
LYNNWOOD,Manufactured home/mobile home,0
LYNNWOOD,Rooming house/collective residence,0
LYNNWOOD,Hotel or motel,0
LYNNWOOD,Other residential,0
LYNNWOOD,No Response,0
MACEWAN,Single-detached house,3109
MACEWAN,Duplex/triplex/fourplex,782
MACEWAN,Row house,0
MACEWAN,Apartment with 5 or more stories,3
MACEWAN,Apartment with less than 5 stories,1291
MACEWAN,Manufactured home/mobile home,0
MACEWAN,Rooming house/collective residence,0
MACEWAN,Hotel or motel,0
MACEWAN,Other residential,0
MACEWAN,No Response,0
MACTAGGART AREA,Single-detached house,927
MACTAGGART AREA,Duplex/triplex/fourplex,7
MACTAGGART AREA,Row house,0
MACTAGGART AREA,Apartment with 5 or more stories,0
MACTAGGART AREA,Apartment with less than 5 stories,0
MACTAGGART AREA,Manufactured home/mobile home,0
MACTAGGART AREA,Rooming house/collective residence,0
MACTAGGART AREA,Hotel or motel,0
MACTAGGART AREA,Other residential,0
MACTAGGART AREA,No Response,0
MAGRATH HEIGHTS AREA,Single-detached house,1101
MAGRATH HEIGHTS AREA,Duplex/triplex/fourplex,229
MAGRATH HEIGHTS AREA,Row house,0
MAGRATH HEIGHTS AREA,Apartment with 5 or more stories,0
MAGRATH HEIGHTS AREA,Apartment with less than 5 stories,236
MAGRATH HEIGHTS AREA,Manufactured home/mobile home,0
MAGRATH HEIGHTS AREA,Rooming house/collective residence,0
MAGRATH HEIGHTS AREA,Hotel or motel,0
MAGRATH HEIGHTS AREA,Other residential,0
MAGRATH HEIGHTS AREA,No Response,0
MALMO PLAINS,Single-detached house,1573
MALMO PLAINS,Duplex/triplex/fourplex,0
MALMO PLAINS,Row house,900
MALMO PLAINS,Apartment with 5 or more stories,624
MALMO PLAINS,Apartment with less than 5 stories,154
MALMO PLAINS,Manufactured home/mobile home,0
MALMO PLAINS,Rooming house/collective residence,0
MALMO PLAINS,Hotel or motel,0
MALMO PLAINS,Other residential,0
MALMO PLAINS,No Response,0
MAPLE RIDGE,Single-detached house,0
MAPLE RIDGE,Duplex/triplex/fourplex,1
MAPLE RIDGE,Row house,0
MAPLE RIDGE,Apartment with 5 or more stories,0
MAPLE RIDGE,Apartment with less than 5 stories,0
MAPLE RIDGE,Manufactured home/mobile home,1783
MAPLE RIDGE,Rooming house/collective residence,0
MAPLE RIDGE,Hotel or motel,0
MAPLE RIDGE,Other residential,0
MAPLE RIDGE,No Response,0
MAPLE RIDGE INDUSTRIAL,Single-detached house,82
MAPLE RIDGE INDUSTRIAL,Duplex/triplex/fourplex,0
MAPLE RIDGE INDUSTRIAL,Row house,0
MAPLE RIDGE INDUSTRIAL,Apartment with 5 or more stories,0
MAPLE RIDGE INDUSTRIAL,Apartment with less than 5 stories,0
MAPLE RIDGE INDUSTRIAL,Manufactured home/mobile home,3
MAPLE RIDGE INDUSTRIAL,Rooming house/collective residence,0
MAPLE RIDGE INDUSTRIAL,Hotel or motel,0
MAPLE RIDGE INDUSTRIAL,Other residential,0
MAPLE RIDGE INDUSTRIAL,No Response,0
MATT BERRY,Single-detached house,3609
MATT BERRY,Duplex/triplex/fourplex,187
MATT BERRY,Row house,60
MATT BERRY,Apartment with 5 or more stories,3
MATT BERRY,Apartment with less than 5 stories,0
MATT BERRY,Manufactured home/mobile home,0
MATT BERRY,Rooming house/collective residence,0
MATT BERRY,Hotel or motel,0
MATT BERRY,Other residential,28
MATT BERRY,No Response,0
MAYFIELD,Single-detached house,1775
MAYFIELD,Duplex/triplex/fourplex,31
MAYFIELD,Row house,48
MAYFIELD,Apartment with 5 or more stories,0
MAYFIELD,Apartment with less than 5 stories,87
MAYFIELD,Manufactured home/mobile home,0
MAYFIELD,Rooming house/collective residence,0
MAYFIELD,Hotel or motel,0
MAYFIELD,Other residential,0
MAYFIELD,No Response,0
MAYLIEWAN,Single-detached house,4146
MAYLIEWAN,Duplex/triplex/fourplex,126
MAYLIEWAN,Row house,0
MAYLIEWAN,Apartment with 5 or more stories,0
MAYLIEWAN,Apartment with less than 5 stories,0
MAYLIEWAN,Manufactured home/mobile home,0
MAYLIEWAN,Rooming house/collective residence,0
MAYLIEWAN,Hotel or motel,0
MAYLIEWAN,Other residential,0
MAYLIEWAN,No Response,0
MCARTHUR INDUSTRIAL,Single-detached house,0
MCARTHUR INDUSTRIAL,Duplex/triplex/fourplex,0
MCARTHUR INDUSTRIAL,Row house,0
MCARTHUR INDUSTRIAL,Apartment with 5 or more stories,0
MCARTHUR INDUSTRIAL,Apartment with less than 5 stories,0
MCARTHUR INDUSTRIAL,Manufactured home/mobile home,0
MCARTHUR INDUSTRIAL,Rooming house/collective residence,0
MCARTHUR INDUSTRIAL,Hotel or motel,0
MCARTHUR INDUSTRIAL,Other residential,0
MCARTHUR INDUSTRIAL,No Response,0
MCCAULEY,Single-detached house,2127
MCCAULEY,Duplex/triplex/fourplex,190
MCCAULEY,Row house,73
MCCAULEY,Apartment with 5 or more stories,341
MCCAULEY,Apartment with less than 5 stories,1325
MCCAULEY,Manufactured home/mobile home,0
MCCAULEY,Rooming house/collective residence,287
MCCAULEY,Hotel or motel,0
MCCAULEY,Other residential,0
MCCAULEY,No Response,0
MCINTYRE INDUSTRIAL,Single-detached house,0
MCINTYRE INDUSTRIAL,Duplex/triplex/fourplex,0
MCINTYRE INDUSTRIAL,Row house,0
MCINTYRE INDUSTRIAL,Apartment with 5 or more stories,0
MCINTYRE INDUSTRIAL,Apartment with less than 5 stories,0
MCINTYRE INDUSTRIAL,Manufactured home/mobile home,0
MCINTYRE INDUSTRIAL,Rooming house/collective residence,0
MCINTYRE INDUSTRIAL,Hotel or motel,0
MCINTYRE INDUSTRIAL,Other residential,0
MCINTYRE INDUSTRIAL,No Response,0
MCKERNAN,Single-detached house,2130
MCKERNAN,Duplex/triplex/fourplex,421
MCKERNAN,Row house,21
MCKERNAN,Apartment with 5 or more stories,0
MCKERNAN,Apartment with less than 5 stories,21
MCKERNAN,Manufactured home/mobile home,0
MCKERNAN,Rooming house/collective residence,118
MCKERNAN,Hotel or motel,0
MCKERNAN,Other residential,0
MCKERNAN,No Response,0
MCLEOD,Single-detached house,2426
MCLEOD,Duplex/triplex/fourplex,0
MCLEOD,Row house,0
MCLEOD,Apartment with 5 or more stories,0
MCLEOD,Apartment with less than 5 stories,0
MCLEOD,Manufactured home/mobile home,0
MCLEOD,Rooming house/collective residence,0
MCLEOD,Hotel or motel,0
MCLEOD,Other residential,0
MCLEOD,No Response,0
MCNAMARA INDUSTRIAL,Single-detached house,0
MCNAMARA INDUSTRIAL,Duplex/triplex/fourplex,0
MCNAMARA INDUSTRIAL,Row house,0
MCNAMARA INDUSTRIAL,Apartment with 5 or more stories,0
MCNAMARA INDUSTRIAL,Apartment with less than 5 stories,0
MCNAMARA INDUSTRIAL,Manufactured home/mobile home,0
MCNAMARA INDUSTRIAL,Rooming house/collective residence,0
MCNAMARA INDUSTRIAL,Hotel or motel,0
MCNAMARA INDUSTRIAL,Other residential,0
MCNAMARA INDUSTRIAL,No Response,0
MCQUEEN,Single-detached house,1068
MCQUEEN,Duplex/triplex/fourplex,48
MCQUEEN,Row house,0
MCQUEEN,Apartment with 5 or more stories,0
MCQUEEN,Apartment with less than 5 stories,406
MCQUEEN,Manufactured home/mobile home,0
MCQUEEN,Rooming house/collective residence,136
MCQUEEN,Hotel or motel,0
MCQUEEN,Other residential,0
MCQUEEN,No Response,0
MEADOWLARK PARK,Single-detached house,2323
MEADOWLARK PARK,Duplex/triplex/fourplex,0
MEADOWLARK PARK,Row house,0
MEADOWLARK PARK,Apartment with 5 or more stories,2
MEADOWLARK PARK,Apartment with less than 5 stories,366
MEADOWLARK PARK,Manufactured home/mobile home,0
MEADOWLARK PARK,Rooming house/collective residence,0
MEADOWLARK PARK,Hotel or motel,0
MEADOWLARK PARK,Other residential,0
MEADOWLARK PARK,No Response,0
MENISA,Single-detached house,2274
MENISA,Duplex/triplex/fourplex,192
MENISA,Row house,197
MENISA,Apartment with 5 or more stories,0
MENISA,Apartment with less than 5 stories,22
MENISA,Manufactured home/mobile home,0
MENISA,Rooming house/collective residence,0
MENISA,Hotel or motel,0
MENISA,Other residential,0
MENISA,No Response,0
MEYOKUMIN,Single-detached house,1989
MEYOKUMIN,Duplex/triplex/fourplex,480
MEYOKUMIN,Row house,576
MEYOKUMIN,Apartment with 5 or more stories,0
MEYOKUMIN,Apartment with less than 5 stories,18
MEYOKUMIN,Manufactured home/mobile home,0
MEYOKUMIN,Rooming house/collective residence,0
MEYOKUMIN,Hotel or motel,0
MEYOKUMIN,Other residential,0
MEYOKUMIN,No Response,0
MEYONOHK,Single-detached house,1595
MEYONOHK,Duplex/triplex/fourplex,352
MEYONOHK,Row house,721
MEYONOHK,Apartment with 5 or more stories,0
MEYONOHK,Apartment with less than 5 stories,301
MEYONOHK,Manufactured home/mobile home,0
MEYONOHK,Rooming house/collective residence,0
MEYONOHK,Hotel or motel,0
MEYONOHK,Other residential,0
MEYONOHK,No Response,0
MICHAELS PARK,Single-detached house,1294
MICHAELS PARK,Duplex/triplex/fourplex,192
MICHAELS PARK,Row house,393
MICHAELS PARK,Apartment with 5 or more stories,0
MICHAELS PARK,Apartment with less than 5 stories,316
MICHAELS PARK,Manufactured home/mobile home,0
MICHAELS PARK,Rooming house/collective residence,0
MICHAELS PARK,Hotel or motel,0
MICHAELS PARK,Other residential,0
MICHAELS PARK,No Response,0
MILL WOODS GOLF COURSE,Single-detached house,0
MILL WOODS GOLF COURSE,Duplex/triplex/fourplex,0
MILL WOODS GOLF COURSE,Row house,0
MILL WOODS GOLF COURSE,Apartment with 5 or more stories,0
MILL WOODS GOLF COURSE,Apartment with less than 5 stories,0
MILL WOODS GOLF COURSE,Manufactured home/mobile home,0
MILL WOODS GOLF COURSE,Rooming house/collective residence,0
MILL WOODS GOLF COURSE,Hotel or motel,0
MILL WOODS GOLF COURSE,Other residential,0
MILL WOODS GOLF COURSE,No Response,0
MILL WOODS PARK,Single-detached house,0
MILL WOODS PARK,Duplex/triplex/fourplex,0
MILL WOODS PARK,Row house,0
MILL WOODS PARK,Apartment with 5 or more stories,0
MILL WOODS PARK,Apartment with less than 5 stories,0
MILL WOODS PARK,Manufactured home/mobile home,0
MILL WOODS PARK,Rooming house/collective residence,0
MILL WOODS PARK,Hotel or motel,0
MILL WOODS PARK,Other residential,0
MILL WOODS PARK,No Response,0
MILL WOODS TOWN CENTRE,Single-detached house,0
MILL WOODS TOWN CENTRE,Duplex/triplex/fourplex,0
MILL WOODS TOWN CENTRE,Row house,0
MILL WOODS TOWN CENTRE,Apartment with 5 or more stories,0
MILL WOODS TOWN CENTRE,Apartment with less than 5 stories,1156
MILL WOODS TOWN CENTRE,Manufactured home/mobile home,0
MILL WOODS TOWN CENTRE,Rooming house/collective residence,0
MILL WOODS TOWN CENTRE,Hotel or motel,0
MILL WOODS TOWN CENTRE,Other residential,0
MILL WOODS TOWN CENTRE,No Response,0
MILLER,Single-detached house,2069
MILLER,Duplex/triplex/fourplex,436
MILLER,Row house,0
MILLER,Apartment with 5 or more stories,0
MILLER,Apartment with less than 5 stories,336
MILLER,Manufactured home/mobile home,0
MILLER,Rooming house/collective residence,0
MILLER,Hotel or motel,0
MILLER,Other residential,0
