WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,LENGTH_OF_RESIDENCE,OWNED,RENTED,NO_RESPONSE
Ward 4,2500,MATT BERRY,Child less than 1 year,17,3,0
Ward 4,2500,MATT BERRY,No Response,149,22,193
Ward 4,2521,MCCONACHIE AREA,5 years or more,0,0,0
Ward 4,2521,MCCONACHIE AREA,No 3 years to less than 5 years,70,0,0
Ward 4,2521,MCCONACHIE AREA,1 year to less than 3 years,399,7,0
Ward 4,2521,MCCONACHIE AREA,Less than 1 year,215,13,4
Ward 4,2521,MCCONACHIE AREA,Child less than 1 year,18,1,0
Ward 4,2521,MCCONACHIE AREA,No Response,76,3,91
Ward 4,2530,MCLEOD,5 years or more,1630,32,5
Ward 4,2530,MCLEOD,No 3 years to less than 5 years,200,33,2
Ward 4,2530,MCLEOD,1 year to less than 3 years,136,63,0
Ward 4,2530,MCLEOD,Less than 1 year,94,56,2
Ward 4,2530,MCLEOD,Child less than 1 year,15,3,0
Ward 4,2530,MCLEOD,No Response,20,3,15
Ward 4,2541,MILLER,5 years or more,1166,50,2
Ward 4,2541,MILLER,No 3 years to less than 5 years,385,54,0
Ward 4,2541,MILLER,1 year to less than 3 years,275,108,1
Ward 4,2541,MILLER,Less than 1 year,152,170,3
Ward 4,2541,MILLER,Child less than 1 year,31,8,0
Ward 4,2541,MILLER,No Response,356,93,117
Ward 4,2590,OVERLANDERS,5 years or more,603,375,19
Ward 4,2590,OVERLANDERS,No 3 years to less than 5 years,118,394,7
Ward 4,2590,OVERLANDERS,1 year to less than 3 years,66,479,7
Ward 4,2590,OVERLANDERS,Less than 1 year,33,396,10
Ward 4,2590,OVERLANDERS,Child less than 1 year,11,14,0
Ward 4,2590,OVERLANDERS,No Response,23,155,151
Ward 4,2610,PILOT SOUND AREA WEST PORTION,5 years or more,0,0,0
Ward 4,2610,PILOT SOUND AREA WEST PORTION,No 3 years to less than 5 years,0,0,0
Ward 4,2610,PILOT SOUND AREA WEST PORTION,1 year to less than 3 years,0,0,0
Ward 4,2610,PILOT SOUND AREA WEST PORTION,Less than 1 year,0,0,0
Ward 4,2610,PILOT SOUND AREA WEST PORTION,Child less than 1 year,0,0,0
Ward 4,2610,PILOT SOUND AREA WEST PORTION,No Response,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,5 years or more,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,No 3 years to less than 5 years,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,1 year to less than 3 years,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,Less than 1 year,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,Child less than 1 year,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,No Response,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,5 years or more,133,4,1
Ward 4,2670,RURAL NORTH EAST HORSE HILL,No 3 years to less than 5 years,19,11,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,1 year to less than 3 years,9,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,Less than 1 year,4,2,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,Child less than 1 year,3,1,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,No Response,6,1,21
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,5 years or more,101,6,2
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,No 3 years to less than 5 years,16,15,0
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,1 year to less than 3 years,3,0,0
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,Less than 1 year,4,5,0
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,Child less than 1 year,0,0,0
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,No Response,0,0,23
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,5 years or more,372,6,8
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,No 3 years to less than 5 years,87,0,1
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,1 year to less than 3 years,26,11,6
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,Less than 1 year,13,7,0
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,Child less than 1 year,4,1,0
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,No Response,34,4,24
Ward 4,2710,SIFTON PARK,5 years or more,589,194,16
Ward 4,2710,SIFTON PARK,No 3 years to less than 5 years,96,219,10
Ward 4,2710,SIFTON PARK,1 year to less than 3 years,69,324,27
Ward 4,2710,SIFTON PARK,Less than 1 year,36,248,9
Ward 4,2710,SIFTON PARK,Child less than 1 year,7,15,1
Ward 4,2710,SIFTON PARK,No Response,29,342,58
Ward 4,2720,YORK,5 years or more,1535,313,23
Ward 4,2720,YORK,No 3 years to less than 5 years,245,256,6
Ward 4,2720,YORK,1 year to less than 3 years,188,361,11
Ward 4,2720,YORK,Less than 1 year,130,424,14
Ward 4,2720,YORK,Child less than 1 year,24,17,0
Ward 4,2720,YORK,No Response,87,136,55
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,5 years or more,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,No 3 years to less than 5 years,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,1 year to less than 3 years,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,Less than 1 year,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,Child less than 1 year,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,No Response,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,5 years or more,635,177,2
Ward 5,4070,CALLINGWOOD NORTH,No 3 years to less than 5 years,144,258,14
Ward 5,4070,CALLINGWOOD NORTH,1 year to less than 3 years,102,221,15
Ward 5,4070,CALLINGWOOD NORTH,Less than 1 year,55,374,9
Ward 5,4070,CALLINGWOOD NORTH,Child less than 1 year,11,19,0
Ward 5,4070,CALLINGWOOD NORTH,No Response,14,146,175
Ward 5,4080,CALLINGWOOD SOUTH,5 years or more,567,447,8
Ward 5,4080,CALLINGWOOD SOUTH,No 3 years to less than 5 years,148,681,8
Ward 5,4080,CALLINGWOOD SOUTH,1 year to less than 3 years,149,1075,10
Ward 5,4080,CALLINGWOOD SOUTH,Less than 1 year,82,1609,10
Ward 5,4080,CALLINGWOOD SOUTH,Child less than 1 year,8,65,1
Ward 5,4080,CALLINGWOOD SOUTH,No Response,85,591,36
Ward 5,4466,CAMERON HEIGHTS,5 years or more,195,1,0
Ward 5,4466,CAMERON HEIGHTS,No 3 years to less than 5 years,185,2,0
Ward 5,4466,CAMERON HEIGHTS,1 year to less than 3 years,302,20,5
Ward 5,4466,CAMERON HEIGHTS,Less than 1 year,221,8,0
Ward 5,4466,CAMERON HEIGHTS,Child less than 1 year,25,0,1
Ward 5,4466,CAMERON HEIGHTS,No Response,146,1,13
Ward 5,4110,DECHENE,5 years or more,951,8,9
Ward 5,4110,DECHENE,No 3 years to less than 5 years,108,12,2
Ward 5,4110,DECHENE,1 year to less than 3 years,81,24,0
Ward 5,4110,DECHENE,Less than 1 year,58,4,0
Ward 5,4110,DECHENE,Child less than 1 year,11,1,0
Ward 5,4110,DECHENE,No Response,127,6,317
Ward 5,4120,DONSDALE,5 years or more,677,0,15
Ward 5,4120,DONSDALE,No 3 years to less than 5 years,181,4,5
Ward 5,4120,DONSDALE,1 year to less than 3 years,82,2,0
Ward 5,4120,DONSDALE,Less than 1 year,45,15,0
Ward 5,4120,DONSDALE,Child less than 1 year,2,0,0
Ward 5,4120,DONSDALE,No Response,20,0,196
Ward 5,4140,ELMWOOD,5 years or more,1069,205,6
Ward 5,4140,ELMWOOD,No 3 years to less than 5 years,131,146,7
Ward 5,4140,ELMWOOD,1 year to less than 3 years,84,189,12
Ward 5,4140,ELMWOOD,Less than 1 year,78,163,7
Ward 5,4140,ELMWOOD,Child less than 1 year,10,10,1
Ward 5,4140,ELMWOOD,No Response,62,251,182
Ward 5,4160,GARIEPY,5 years or more,1114,18,6
Ward 5,4160,GARIEPY,No 3 years to less than 5 years,181,24,0
Ward 5,4160,GARIEPY,1 year to less than 3 years,146,42,0
Ward 5,4160,GARIEPY,Less than 1 year,62,50,0
Ward 5,4160,GARIEPY,Child less than 1 year,14,3,0
Ward 5,4160,GARIEPY,No Response,104,7,106
Ward 5,4720,GLASTONBURY,5 years or more,2585,60,26
Ward 5,4720,GLASTONBURY,No 3 years to less than 5 years,935,100,2
Ward 5,4720,GLASTONBURY,1 year to less than 3 years,659,252,12
Ward 5,4720,GLASTONBURY,Less than 1 year,341,309,6
Ward 5,4720,GLASTONBURY,Child less than 1 year,75,15,0
Ward 5,4720,GLASTONBURY,No Response,153,69,381
Ward 5,4551,GRANVILLE,5 years or more,0,0,0
Ward 5,4551,GRANVILLE,No 3 years to less than 5 years,0,0,0
Ward 5,4551,GRANVILLE,1 year to less than 3 years,0,0,0
Ward 5,4551,GRANVILLE,Less than 1 year,209,2,0
Ward 5,4551,GRANVILLE,Child less than 1 year,7,0,0
Ward 5,4551,GRANVILLE,No Response,4,0,0
Ward 5,4220,JAMIESON PLACE,5 years or more,2387,36,30
Ward 5,4220,JAMIESON PLACE,No 3 years to less than 5 years,400,43,6
Ward 5,4220,JAMIESON PLACE,1 year to less than 3 years,287,70,2
Ward 5,4220,JAMIESON PLACE,Less than 1 year,154,63,1
Ward 5,4220,JAMIESON PLACE,Child less than 1 year,34,2,1
Ward 5,4220,JAMIESON PLACE,No Response,181,13,202
Ward 5,3270,LAURIER HEIGHTS,5 years or more,1478,20,49
Ward 5,3270,LAURIER HEIGHTS,No 3 years to less than 5 years,253,23,19
Ward 5,3270,LAURIER HEIGHTS,1 year to less than 3 years,172,24,4
Ward 5,3270,LAURIER HEIGHTS,Less than 1 year,117,18,2
Ward 5,3270,LAURIER HEIGHTS,Child less than 1 year,16,2,0
Ward 5,3270,LAURIER HEIGHTS,No Response,113,4,326
Ward 5,4270,LYMBURN,5 years or more,3040,243,47
Ward 5,4270,LYMBURN,No 3 years to less than 5 years,606,237,15
Ward 5,4270,LYMBURN,1 year to less than 3 years,377,307,2
Ward 5,4270,LYMBURN,Less than 1 year,209,259,0
Ward 5,4270,LYMBURN,Child less than 1 year,34,14,0
Ward 5,4270,LYMBURN,No Response,130,164,232
Ward 5,4280,LYNNWOOD,5 years or more,1078,238,9
Ward 5,4280,LYNNWOOD,No 3 years to less than 5 years,174,269,9
Ward 5,4280,LYNNWOOD,1 year to less than 3 years,100,423,12
Ward 5,4280,LYNNWOOD,Less than 1 year,84,487,9
Ward 5,4280,LYNNWOOD,Child less than 1 year,8,12,0
Ward 5,4280,LYNNWOOD,No Response,114,190,75
Ward 5,4360,OLESKIW,5 years or more,2012,38,20
Ward 5,4360,OLESKIW,No 3 years to less than 5 years,361,22,3
Ward 5,4360,OLESKIW,1 year to less than 3 years,197,32,1
Ward 5,4360,OLESKIW,Less than 1 year,106,27,0
Ward 5,4360,OLESKIW,Child less than 1 year,15,1,0
Ward 5,4360,OLESKIW,No Response,81,0,78
Ward 5,4380,ORMSBY PLACE,5 years or more,2693,213,13
Ward 5,4380,ORMSBY PLACE,No 3 years to less than 5 years,383,239,2
Ward 5,4380,ORMSBY PLACE,1 year to less than 3 years,278,384,1
Ward 5,4380,ORMSBY PLACE,Less than 1 year,240,424,0
Ward 5,4380,ORMSBY PLACE,Child less than 1 year,26,28,0
Ward 5,4380,ORMSBY PLACE,No Response,139,88,160
Ward 5,4390,PATRICIA HEIGHTS,5 years or more,643,125,1
Ward 5,4390,PATRICIA HEIGHTS,No 3 years to less than 5 years,103,160,5
Ward 5,4390,PATRICIA HEIGHTS,1 year to less than 3 years,79,218,7
Ward 5,4390,PATRICIA HEIGHTS,Less than 1 year,48,189,6
Ward 5,4390,PATRICIA HEIGHTS,Child less than 1 year,8,13,0
Ward 5,4390,PATRICIA HEIGHTS,No Response,41,78,27
Ward 5,4420,QUESNELL HEIGHTS,5 years or more,235,0,0
Ward 5,4420,QUESNELL HEIGHTS,No 3 years to less than 5 years,18,0,0
Ward 5,4420,QUESNELL HEIGHTS,1 year to less than 3 years,27,0,0
Ward 5,4420,QUESNELL HEIGHTS,Less than 1 year,10,0,0
Ward 5,4420,QUESNELL HEIGHTS,Child less than 1 year,0,0,0
Ward 5,4420,QUESNELL HEIGHTS,No Response,50,0,6
Ward 5,4430,RIO TERRACE,5 years or more,851,8,6
Ward 5,4430,RIO TERRACE,No 3 years to less than 5 years,153,13,0
Ward 5,4430,RIO TERRACE,1 year to less than 3 years,109,3,0
Ward 5,4430,RIO TERRACE,Less than 1 year,52,26,0
Ward 5,4430,RIO TERRACE,Child less than 1 year,7,0,0
Ward 5,4430,RIO TERRACE,No Response,36,6,35
Ward 5,4467,RIVER VALLEY CAMERON,5 years or more,0,0,0
Ward 5,4467,RIVER VALLEY CAMERON,No 3 years to less than 5 years,0,0,0
Ward 5,4467,RIVER VALLEY CAMERON,1 year to less than 3 years,0,0,0
Ward 5,4467,RIVER VALLEY CAMERON,Less than 1 year,0,0,0
Ward 6,3440,WESTMOUNT,No Response,518,680,479
Ward 5,4467,RIVER VALLEY CAMERON,Child less than 1 year,0,0,0
Ward 5,4467,RIVER VALLEY CAMERON,No Response,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,5 years or more,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,No 3 years to less than 5 years,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,1 year to less than 3 years,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,Less than 1 year,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,Child less than 1 year,0,0,0
Ward 5,3382,RIVER VALLEY LAURIER,No Response,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,5 years or more,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,No 3 years to less than 5 years,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,1 year to less than 3 years,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,Less than 1 year,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,Child less than 1 year,0,0,0
Ward 5,4440,RIVER VALLEY LESSARD NORTH,No Response,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,5 years or more,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,No 3 years to less than 5 years,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,1 year to less than 3 years,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,Less than 1 year,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,Child less than 1 year,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,No Response,0,0,0
Ward 5,4460,RURAL WEST,5 years or more,354,1,5
Ward 5,4460,RURAL WEST,No 3 years to less than 5 years,68,0,0
Ward 5,4460,RURAL WEST,1 year to less than 3 years,39,6,0
Ward 5,4460,RURAL WEST,Less than 1 year,45,6,3
Ward 5,4460,RURAL WEST,Child less than 1 year,3,0,1
Ward 5,4460,RURAL WEST,No Response,12,0,16
Ward 5,4461,THE HAMPTONS,5 years or more,1369,50,28
Ward 5,4461,THE HAMPTONS,No 3 years to less than 5 years,2402,163,49
Ward 5,4461,THE HAMPTONS,1 year to less than 3 years,1993,313,31
Ward 5,4461,THE HAMPTONS,Less than 1 year,1254,362,24
Ward 5,4461,THE HAMPTONS,Child less than 1 year,177,20,4
Ward 5,4461,THE HAMPTONS,No Response,454,68,637
Ward 5,4560,THORNCLIFF,5 years or more,1040,244,23
Ward 5,4560,THORNCLIFF,No 3 years to less than 5 years,143,312,11
Ward 5,4560,THORNCLIFF,1 year to less than 3 years,87,484,4
Ward 5,4560,THORNCLIFF,Less than 1 year,84,614,12
Ward 5,4560,THORNCLIFF,Child less than 1 year,16,32,0
Ward 5,4560,THORNCLIFF,No Response,44,200,109
Ward 5,4570,WEDGEWOOD HEIGHTS,5 years or more,1016,4,11
Ward 5,4570,WEDGEWOOD HEIGHTS,No 3 years to less than 5 years,92,1,4
Ward 5,4570,WEDGEWOOD HEIGHTS,1 year to less than 3 years,76,8,0
Ward 5,4570,WEDGEWOOD HEIGHTS,Less than 1 year,67,16,3
Ward 5,4570,WEDGEWOOD HEIGHTS,Child less than 1 year,6,3,0
Ward 5,4570,WEDGEWOOD HEIGHTS,No Response,87,2,70
Ward 5,4610,WESTRIDGE,5 years or more,949,3,8
Ward 5,4610,WESTRIDGE,No 3 years to less than 5 years,128,2,0
Ward 5,4610,WESTRIDGE,1 year to less than 3 years,77,4,0
Ward 5,4610,WESTRIDGE,Less than 1 year,24,0,0
Ward 5,4610,WESTRIDGE,Child less than 1 year,6,0,0
Ward 5,4610,WESTRIDGE,No Response,104,0,22
Ward 6,1020,BOYLE STREET,5 years or more,332,770,12
Ward 6,1020,BOYLE STREET,No 3 years to less than 5 years,145,590,11
Ward 6,1020,BOYLE STREET,1 year to less than 3 years,79,882,8
Ward 6,1020,BOYLE STREET,Less than 1 year,54,1168,16
Ward 6,1020,BOYLE STREET,Child less than 1 year,4,46,2
Ward 6,1020,BOYLE STREET,No Response,77,917,209
Ward 6,1030,CENTRAL MCDOUGALL,5 years or more,173,568,20
Ward 6,1030,CENTRAL MCDOUGALL,No 3 years to less than 5 years,67,451,5
Ward 6,1030,CENTRAL MCDOUGALL,1 year to less than 3 years,70,868,13
Ward 6,1030,CENTRAL MCDOUGALL,Less than 1 year,43,1057,15
Ward 6,1030,CENTRAL MCDOUGALL,Child less than 1 year,3,47,2
Ward 6,1030,CENTRAL MCDOUGALL,No Response,41,1045,199
Ward 6,1090,DOWNTOWN,5 years or more,741,942,11
Ward 6,1090,DOWNTOWN,No 3 years to less than 5 years,544,922,34
Ward 6,1090,DOWNTOWN,1 year to less than 3 years,586,2209,33
Ward 6,1090,DOWNTOWN,Less than 1 year,316,2417,36
Ward 6,1090,DOWNTOWN,Child less than 1 year,14,44,2
Ward 6,1090,DOWNTOWN,No Response,289,1482,542
Ward 6,3200,GLENORA,5 years or more,1835,121,35
Ward 6,3200,GLENORA,No 3 years to less than 5 years,332,111,9
Ward 6,3200,GLENORA,1 year to less than 3 years,218,140,7
Ward 6,3200,GLENORA,Less than 1 year,126,194,1
Ward 6,3200,GLENORA,Child less than 1 year,27,11,1
Ward 6,3200,GLENORA,No Response,128,25,183
Ward 6,3210,GROVENOR,5 years or more,1091,102,18
Ward 6,3210,GROVENOR,No 3 years to less than 5 years,191,98,6
Ward 6,3210,GROVENOR,1 year to less than 3 years,135,147,1
Ward 6,3210,GROVENOR,Less than 1 year,93,191,0
Ward 6,3210,GROVENOR,Child less than 1 year,22,6,1
Ward 6,3210,GROVENOR,No Response,56,28,163
Ward 6,1140,MCCAULEY,5 years or more,628,499,29
Ward 6,1140,MCCAULEY,No 3 years to less than 5 years,100,274,13
Ward 6,1140,MCCAULEY,1 year to less than 3 years,84,331,11
Ward 6,1140,MCCAULEY,Less than 1 year,67,388,4
Ward 6,1140,MCCAULEY,Child less than 1 year,7,24,1
Ward 6,1140,MCCAULEY,No Response,148,769,135
Ward 6,3300,MCQUEEN,5 years or more,584,123,2
Ward 6,3300,MCQUEEN,No 3 years to less than 5 years,72,88,0
Ward 6,3300,MCQUEEN,1 year to less than 3 years,60,111,0
Ward 6,3300,MCQUEEN,Less than 1 year,31,144,0
Ward 6,3300,MCQUEEN,Child less than 1 year,7,5,0
Ward 6,3300,MCQUEEN,No Response,107,128,215
Ward 6,3310,NORTH GLENORA,5 years or more,910,113,2
Ward 6,3310,NORTH GLENORA,No 3 years to less than 5 years,142,108,0
Ward 6,3310,NORTH GLENORA,1 year to less than 3 years,139,143,1
Ward 6,3310,NORTH GLENORA,Less than 1 year,89,170,2
Ward 6,3310,NORTH GLENORA,Child less than 1 year,19,9,0
Ward 6,3310,NORTH GLENORA,No Response,24,29,112
Ward 6,1150,OLIVER,5 years or more,2185,2204,58
Ward 6,1150,OLIVER,No 3 years to less than 5 years,850,1606,23
Ward 6,1150,OLIVER,1 year to less than 3 years,725,2577,39
Ward 6,1150,OLIVER,Less than 1 year,576,3413,49
Ward 6,1150,OLIVER,Child less than 1 year,20,65,3
Ward 6,1150,OLIVER,No Response,796,2341,507
Ward 6,1180,QUEEN MARY PARK,5 years or more,750,629,10
Ward 6,1180,QUEEN MARY PARK,No 3 years to less than 5 years,281,578,7
Ward 6,1180,QUEEN MARY PARK,1 year to less than 3 years,215,1212,13
Ward 6,1180,QUEEN MARY PARK,Less than 1 year,149,1788,7
Ward 6,1180,QUEEN MARY PARK,Child less than 1 year,10,72,0
Ward 6,1180,QUEEN MARY PARK,No Response,252,991,406
Ward 6,3381,RIVER VALLEY GLENORA,5 years or more,0,0,0
Ward 6,3381,RIVER VALLEY GLENORA,No 3 years to less than 5 years,0,0,0
Ward 6,3381,RIVER VALLEY GLENORA,1 year to less than 3 years,0,0,0
Ward 6,3381,RIVER VALLEY GLENORA,Less than 1 year,0,0,0
Ward 6,3381,RIVER VALLEY GLENORA,Child less than 1 year,0,0,0
Ward 6,3381,RIVER VALLEY GLENORA,No Response,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,5 years or more,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,No 3 years to less than 5 years,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,1 year to less than 3 years,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,Less than 1 year,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,Child less than 1 year,0,0,0
Ward 6,1200,RIVER VALLEY VICTORIA,No Response,0,0,0
Ward 6,1210,RIVERDALE,5 years or more,772,195,14
Ward 6,1210,RIVERDALE,No 3 years to less than 5 years,191,122,3
Ward 6,1210,RIVERDALE,1 year to less than 3 years,145,118,2
Ward 6,1210,RIVERDALE,Less than 1 year,109,166,3
Ward 6,1210,RIVERDALE,Child less than 1 year,14,4,0
Ward 6,1210,RIVERDALE,No Response,76,41,5
Ward 6,1220,ROSSDALE,5 years or more,290,50,3
Ward 6,1220,ROSSDALE,No 3 years to less than 5 years,63,29,0
Ward 6,1220,ROSSDALE,1 year to less than 3 years,69,57,0
Ward 6,1220,ROSSDALE,Less than 1 year,30,104,0
Ward 6,1220,ROSSDALE,Child less than 1 year,2,0,0
Ward 6,1220,ROSSDALE,No Response,17,91,14
Ward 6,3440,WESTMOUNT,5 years or more,1833,303,12
Ward 6,3440,WESTMOUNT,No 3 years to less than 5 years,393,270,8
Ward 6,3440,WESTMOUNT,1 year to less than 3 years,224,421,10
Ward 6,3440,WESTMOUNT,Less than 1 year,170,521,8
Ward 6,3440,WESTMOUNT,Child less than 1 year,23,14,1
Ward 7,2010,ABBOTTSFIELD,5 years or more,263,178,13
Ward 7,2010,ABBOTTSFIELD,No 3 years to less than 5 years,58,193,0
Ward 7,2010,ABBOTTSFIELD,1 year to less than 3 years,31,249,17
Ward 7,2010,ABBOTTSFIELD,Less than 1 year,26,378,3
Ward 7,2010,ABBOTTSFIELD,Child less than 1 year,4,19,0
Ward 7,2010,ABBOTTSFIELD,No Response,75,358,23
Ward 7,1010,ALBERTA AVENUE,5 years or more,2048,374,99
Ward 7,1010,ALBERTA AVENUE,No 3 years to less than 5 years,471,294,52
Ward 7,1010,ALBERTA AVENUE,1 year to less than 3 years,293,454,36
Ward 7,1010,ALBERTA AVENUE,Less than 1 year,196,553,38
Ward 7,1010,ALBERTA AVENUE,Child less than 1 year,28,26,1
Ward 7,1010,ALBERTA AVENUE,No Response,329,497,322
Ward 7,2020,BALWIN,5 years or more,1428,316,69
Ward 7,2020,BALWIN,No 3 years to less than 5 years,210,275,17
Ward 7,2020,BALWIN,1 year to less than 3 years,138,317,10
Ward 7,2020,BALWIN,Less than 1 year,114,485,9
Ward 7,2020,BALWIN,Child less than 1 year,23,29,1
Ward 7,2020,BALWIN,No Response,136,187,49
Ward 7,2040,BEACON HEIGHTS,5 years or more,1218,188,18
Ward 7,2040,BEACON HEIGHTS,No 3 years to less than 5 years,213,132,10
Ward 7,2040,BEACON HEIGHTS,1 year to less than 3 years,142,157,10
Ward 7,2040,BEACON HEIGHTS,Less than 1 year,102,223,14
Ward 7,2040,BEACON HEIGHTS,Child less than 1 year,11,9,0
Ward 7,2040,BEACON HEIGHTS,No Response,99,98,279
Ward 7,2060,BELLEVUE,5 years or more,451,37,15
Ward 7,2060,BELLEVUE,No 3 years to less than 5 years,90,32,4
Ward 7,2060,BELLEVUE,1 year to less than 3 years,57,52,2
Ward 7,2060,BELLEVUE,Less than 1 year,41,64,0
Ward 7,2060,BELLEVUE,Child less than 1 year,6,2,0
Ward 7,2060,BELLEVUE,No Response,55,8,23
Ward 7,2090,BERGMAN,5 years or more,1009,6,15
Ward 7,2090,BERGMAN,No 3 years to less than 5 years,51,9,3
Ward 7,2090,BERGMAN,1 year to less than 3 years,62,16,1
Ward 7,2090,BERGMAN,Less than 1 year,60,131,0
Ward 7,2090,BERGMAN,Child less than 1 year,4,5,0
Ward 7,2090,BERGMAN,No Response,65,8,9
Ward 7,2100,BEVERLY HEIGHTS,5 years or more,1486,270,21
Ward 7,2100,BEVERLY HEIGHTS,No 3 years to less than 5 years,201,157,5
Ward 7,2100,BEVERLY HEIGHTS,1 year to less than 3 years,180,192,1
Ward 7,2100,BEVERLY HEIGHTS,Less than 1 year,86,215,2
Ward 7,2100,BEVERLY HEIGHTS,Child less than 1 year,14,12,0
Ward 7,2100,BEVERLY HEIGHTS,No Response,68,163,117
Ward 7,1070,CROMDALE,5 years or more,405,186,2
Ward 7,1070,CROMDALE,No 3 years to less than 5 years,76,201,1
Ward 7,1070,CROMDALE,1 year to less than 3 years,70,268,0
Ward 7,1070,CROMDALE,Less than 1 year,31,503,7
Ward 7,1070,CROMDALE,Child less than 1 year,1,20,0
Ward 7,1070,CROMDALE,No Response,41,96,9
Ward 7,1080,DELTON,5 years or more,737,151,19
Ward 7,1080,DELTON,No 3 years to less than 5 years,121,88,20
Ward 7,1080,DELTON,1 year to less than 3 years,96,185,22
Ward 7,1080,DELTON,Less than 1 year,51,182,11
Ward 7,1080,DELTON,Child less than 1 year,11,10,1
Ward 7,1080,DELTON,No Response,85,105,113
Ward 7,2230,DELWOOD,5 years or more,2050,89,36
Ward 7,2230,DELWOOD,No 3 years to less than 5 years,203,89,0
Ward 7,2230,DELWOOD,1 year to less than 3 years,192,153,0
Ward 7,2230,DELWOOD,Less than 1 year,117,142,6
Ward 7,2230,DELWOOD,Child less than 1 year,15,1,0
Ward 7,2230,DELWOOD,No Response,189,61,42
Ward 7,1100,EASTWOOD,5 years or more,767,551,42
Ward 7,1100,EASTWOOD,No 3 years to less than 5 years,158,403,27
Ward 7,1100,EASTWOOD,1 year to less than 3 years,90,502,20
Ward 7,1100,EASTWOOD,Less than 1 year,68,576,12
Ward 7,1100,EASTWOOD,Child less than 1 year,7,22,2
Ward 7,1100,EASTWOOD,No Response,158,467,106
Ward 7,1120,EDMONTON NORTHLANDS,5 years or more,3,0,0
Ward 7,1120,EDMONTON NORTHLANDS,No 3 years to less than 5 years,0,0,0
Ward 7,1120,EDMONTON NORTHLANDS,1 year to less than 3 years,0,0,0
Ward 7,1120,EDMONTON NORTHLANDS,Less than 1 year,0,0,0
Ward 7,1120,EDMONTON NORTHLANDS,Child less than 1 year,0,0,0
Ward 7,1120,EDMONTON NORTHLANDS,No Response,0,0,0
Ward 7,1130,ELMWOOD PARK,5 years or more,291,78,28
Ward 7,1130,ELMWOOD PARK,No 3 years to less than 5 years,44,71,5
Ward 7,1130,ELMWOOD PARK,1 year to less than 3 years,17,82,4
Ward 7,1130,ELMWOOD PARK,Less than 1 year,36,134,4
Ward 7,1130,ELMWOOD PARK,Child less than 1 year,2,5,0
